step,epoch,epoch_step,loss,learn_rate
500,499,0,0.1859180,0.004
1000,999,0,0.1554072,0.004
1500,1499,0,0.1317382,0.004
2000,1999,0,0.1211124,0.004
2500,2499,0,0.2631612,0.004
3000,2999,0,0.1414097,0.004
